id_client;flag_coll;amt_credit;bki;age;is_educ;cl_segm;credit_type;fssp;cnt_closed_contract;is_cellphone
1000001;1;225000;26395;68;0;2;CC;0;0;0
1000002;0;75000;89146;69;1;2;POS;0;1;1
1000003;0;10000;35635;56;1;3;CC;0;0;1
1000004;0;400000;60715;36;1;2;POS;0;0;0
1000005;1;175000;38110;48;0;2;POS;0;1;1
1000006;0;225000;62379;30;0;1;CC;180976;1;0
1000007;0;100000;80101;48;0;3;CC;0;1;1
1000008;0;50000;4182;23;0;1;CC;0;7;1
1000009;1;225000;86737;53;1;1;CC;0;0;1
1000010;1;50000;32183;59;0;2;CC;0;0;1
1000011;0;125000;65310;38;1;2;POS;19140;4;1
1000012;0;75000;48231;34;0;1;POS;0;0;1
1000013;0;250000;83111;35;0;2;POS;47430;1;1
1000014;1;150000;87780;61;0;1;POS;0;4;1
1000015;1;75000;80768;60;0;2;POS;0;1;1
1000016;0;50000;6376;30;0;2;POS;0;1;1
1000017;0;700000;0;51;1;2;POS;0;0;1
1000018;1;150000;0;42;1;2;POS;0;0;0
1000019;0;125000;91006;24;0;3;CC;0;1;0
1000020;0;75000;88485;21;1;3;CC;87049;2;1
1000021;1;75000;62193;58;0;3;POS;0;0;1
1000022;1;200000;23614;30;0;3;CC;25350;0;0
1000023;1;20000;33164;30;0;4;POS;0;0;1
1000024;0;700000;41749;29;0;2;POS;0;0;1
1000025;1;20000;5927;22;0;4;CC;0;1;1
1000026;1;10000;70294;25;0;2;CC;0;6;0
1000027;1;250000;90278;36;0;3;POS;0;0;0
1000028;1;200000;39722;37;0;1;CC;43317;0;1
1000029;1;300000;88153;21;1;4;CC;0;0;1
1000030;0;40000;3636;24;1;4;CC;0;0;1
1000031;1;800000;0;36;1;2;POS;0;0;1
1000032;0;125000;54370;30;0;3;POS;174205;0;1
1000033;0;225000;38707;54;0;2;CC;0;0;0
1000034;0;50000;77822;69;0;3;POS;0;0;1
1000035;1;300000;20666;24;1;2;CC;0;1;0
1000036;0;40000;76772;18;1;2;POS;0;2;1
1000037;1;75000;11213;60;0;3;POS;0;0;0
